Fascia,Cognome e Nome,Cognome e Nome normalized,Uppercase Surname,Cognome,Nome,Genere,Ateneo,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza,Servizio prestato in altro ateneo,molteplicità,OpenAlex ID,OpenAlex Name,ORCID,H-Index,I10-Index,Works Count,Cited By Count,Institution (OpenAlex)
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MANTOVANI Matteo,MANTOVANI Matteo,MANTOVANI,Mantovani,Matteo,M,VERONA,,01/INFO-01,INFO-01/A,INF/01,01/B1,INFORMATICA,,,https://openalex.org/A5027238889,Matteo Mantovani,0000-0002-9042-8785,17.0,20.0,66.0,966.0,National Research Council
Ordinario,MANZINI Giovanni,MANZINI Giovanni,MANZINI,Manzini,Giovanni,M,PISA,,01/INFO-01,INFO-01/A,INF/01,01/B1,INFORMATICA,,,https://openalex.org/A5049381844,Giovanni Manzini,0000-0002-5047-0196,34.0,67.0,200.0,5946.0,University of Pisa
Associato,MANZONI Luca,MANZONI Luca,MANZONI,Manzoni,Luca,M,TRIESTE,,01/INFO-01,INFO-01/A,INF/01,01/B1,"Matematica, Informatica e Geoscienze",,,https://openalex.org/A5064452080,Luca Manzoni,0000-0001-6312-7728,25.0,57.0,228.0,2349.0,University of Trieste
Associato,MANZONI Sara Lucia,MANZONI Sara Lucia,MANZONI,Manzoni,Sara Lucia,F,MILANO-BICOCCA,,01/INFO-01,INFO-01/A,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",,,https://openalex.org/A5102913859,Sara Manzoni,0000-0002-6406-536X,17.0,35.0,158.0,1270.0,University of Milano-Bicocca
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MARASTONI Niccolo',MARASTONI Niccolò,MARASTONI,Marastoni,Niccolò,M,VERONA,,01/INFO-01,INFO-01/A,INF/01,01/B1,INFORMATICA,,,https://openalex.org/A5066787411,Niccoló Marastoni,0000-0001-6988-1203,3.0,3.0,14.0,99.0,University of Verona
Ricercatore,MARATEA Antonio,MARATEA Antonio,MARATEA,Maratea,Antonio,M,"""Parthenope"" di NAPOLI",,01/INFO-01,INFO-01/A,INF/01,01/B1,SCIENZE E TECNOLOGIE,,,https://openalex.org/A5000690288,Antonio Maratea,0000-0001-7997-0613,10.0,11.0,57.0,496.0,Parthenope University of Naples
Ordinario,MARATEA Marco,MARATEA Marco,MARATEA,Maratea,Marco,M,della CALABRIA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Matematica e Informatica - DeMaCS,,,https://openalex.org/A5077756388,Marco Maratea,0000-0002-9034-2527,26.0,47.0,183.0,2222.0,University of Calabria
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MARCELLETTI Alessandro,MARCELLETTI Alessandro,MARCELLETTI,Marcelletti,Alessandro,M,CAMERINO,,01/INFO-01,INFO-01/A,INF/01,01/B1,SCUOLA DI SCIENZE E TECNOLOGIE,,,https://openalex.org/A5080164618,Alessandro Marcelletti,0000-0003-1192-6696,4.0,4.0,21.0,128.0,Università di Camerino
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MARCHESI Lodovica,MARCHESI Lodovica,MARCHESI,Marchesi,Lodovica,F,CAGLIARI,,01/INFO-01,INFO-01/A,INF/01,01/B1,MATEMATICA E INFORMATICA,,,https://openalex.org/A5057548819,Lodovica Marchesi,0000-0002-0627-5043,11.0,11.0,36.0,636.0,University of Cagliari
Associato confermato,MARCHIORI Massimo,MARCHIORI Massimo,MARCHIORI,Marchiori,Massimo,M,PADOVA,,01/INFO-01,INFO-01/A,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",,,https://openalex.org/A5048136336,Massimo Marchiori,0000-0002-4107-4132,25.0,37.0,119.0,11767.0,University of Padua
